wav,txt2,phone2
chinese002962,打 你 几 下 会 死 啊 ？,da2 ni2 ji3 xia4 hui4 si3 a5 ？
chinese002963,祝 你 幸 福 美 满 哟 ！,zhu4 ni3 xing4 fu2 mei2 man3 yo5 ！
chinese002964,那 孩 子 咋 上 学 呀 。,na4 hai2 zi5 za3 shang4 xue2 ya5 。
chinese002965,完 美 颜 值 就 是 你 。,wan2 mei3 yan2 zhi2 jiu4 shi4 ni3 。
chinese002966,今 日 上 午 将 举 行 本 年 度 首 期 购 车 摇 号 。,jin1 ri4 shang4 wu3 jiang1 ju3 xing2 ben3 nian2 du4 shou3 qi1 gou4 che1 yao2 hao4 。
chinese002967,新 华 网 北 京 二 月 十 一 日 电 ： 三 、 六 、 九 ， 往 外 走 。,xin1 hua2 wang2 bei3 jing1 er4 yue4 shi2 yi1 ri4 dian4 ： san1 、 liu4 、 jiu3 wang3 wai4 zou3 ， 。
chinese002968,原 来 她 把 睡 房 灯 泡 拆 下 来 整 个 儿 吞 掉 ， 只 吃 剩 下 了 一 根 电 线 。,yuan2 lai2 ta1 ba3 shui4 fang2 deng1 pao4 chai1 xia4 lai5 zheng3 ger4 tun1 diao4 zhi3 ， chi1 sheng4 xia4 le5 yi4 gen1 dian4 xian4 。
chinese002969,赵 嵩 偶 尔 在 学 校 里 看 看 朝 鲜 的 电 视 。,zhao4 song1 ou2 er3 zai4 xue2 xiao4 li3 kan4 kan5 chao2 xian3 de5 dian4 shi4 。
chinese002970,但 信 贷 依 然 如 出 笼 猛 虎 ， 一 路 狂 奔 。,dan4 xin4 dai4 yi1 ran2 ru2 chu1 long2 meng2 hu3 ， yi2 lu4 kuang2 ben1 。
chinese002971,甘 茨 感 谢 习 副 主 席 拨 冗 会 见 。,gan1 ci2 gan3 xie4 xi2 fu4 zhu3 xi2 bo1 rong3 hui4 jian4 。
chinese002972,有 空 调 我 感 觉 不 到 热 呢 。,you3 kong1 tiao2 wo2 gan3 jue2 bu2 dao4 re4 ne5 。
chinese002973,一 次 ， 前 夫 带 她 到 昆 明 筇 竹 寺 时 ， 与 该 寺 百 岁 高 僧 结 缘 。,yi2 ci4 ， qian2 fu1 dai4 ta1 dao4 kun1 ming2 qiong2 zhu2 si4 shi2 ， yu3 gai1 si4 bai3 sui4 gao1 seng1 jie2 yuan2 。
chinese002974,收 费 亭 的 自 动 栏 杆 已 被 卸 下 。,shou1 fei4 ting2 de5 zi4 dong4 lan2 gan1 yi3 bei4 xie4 xia4 。
chinese002975,自 东 方 园 林 上 市 以 来 ， 何 巧 女 长 袖 善 舞 ， 继 续 迸 发 着 巨 大 能 量 。,zi4 dong1 fang1 yuan2 lin2 shang4 shi4 yi3 lai2 ， he2 qiao2 nv3 chang2 xiu4 shan4 wu3 ， ji4 xu4 beng4 fa1 zhe5 ju4 da4 neng2 liang4 。
chinese002976,徐 新 语 速 很 快 ， 声 音 爽 朗 。,xu2 xin1 yu3 su4 hen3 kuai4 ， sheng1 yin1 shuang2 lang3 。
chinese002977,邹 贵 勇 失 踪 那 年 ， 他 们 全 家 住 在 凯 里 火 车 站 附 近 。,zou1 gui4 yong3 shi1 zong1 na4 nian2 ， ta1 men5 quan2 jia1 zhu4 zai4 kai2 li2 huo3 che1 zhan4 fu4 jin4 。
chinese002978,截 至 记 者 发 稿 时 ， 气 味 已 然 散 去 ， 疑 云 依 旧 笼 罩 。,jie2 zhi4 ji4 zhe3 fa1 gao3 shi2 ， qi4 wei4 yi3 ran2 san4 qu4 ， yi2 yun2 yi1 jiu4 long3 zhao4 。
chinese002979,名 人 一 吹 我 们 就 相 信 啦 ， 就 上 当 了 ， 可 悲 呀 ！,ming2 ren2 yi4 chui1 wo3 men5 jiu4 xiang1 xin4 la5 ， jiu4 shang4 dang4 le5 ， ke3 bei1 ya5 ！
chinese002980,这 种 冤 冤 相 报 何 时 有 个 了 ？,zhe4 zhong3 yuan1 yuan1 xiang1 bao4 he2 shi2 you3 ge5 liao3 ？
chinese002981,他 没 顾 发 表 评 论 ， 挥 笔 就 骂 琼 瑶 ， 骂 得 浑 身 爽 气 。,ta1 mei2 gu4 fa1 biao3 ping2 lun4 ， hui1 bi3 jiu4 ma4 qiong2 yao2 ， ma4 de5 hun2 shen1 shuang3 qi4 。
chinese002982,大 罐 上 方 浓 烟 滚 滚 ， 火 光 冲 天 。,da4 guan4 shang4 fang1 nong2 yan1 gun2 gun3 ， huo3 guang1 chong1 tian1 。
chinese002983,一 次 帆 船 比 赛 时 ， 出 于 意 外 ， 默 多 克 的 手 被 缆 绳 剐 伤 鲜 血 直 流 。,yi2 ci4 fan1 chuan2 bi3 sai4 shi2 ， chu1 yu2 yi4 wai4 ， mo4 duo1 ke4 de5 shou3 bei4 lan3 sheng2 gua3 shang1 xian1 xue4 zhi2 liu2 。
chinese002984,跌 幅 方 面 ， 正 保 远 程 教 育 跌 百 分 之 六 点 三 六 ， 九 城 跌 百 分 之 五 点 零 零 。,die1 fu2 fang1 mian4 ， zheng4 bao2 yuan3 cheng2 jiao4 yu4 die1 bai3 fen1 zhi1 liu4 dian3 san1 liu4 ， jiu3 cheng2 die1 bai3 fen1 zhi1 wu2 dian3 ling2 ling2 。
chinese002985,冲 锋 在 前 的 他 ， 遭 遇 对 方 拼 命 拒 捕 反 抗 ， 右 手 肘 粉 碎 性 骨 折 。,chong1 feng1 zai4 qian2 de5 ta1 ， zao1 yu4 dui4 fang1 pin1 ming4 ju4 bu2 fan3 kang4 ， you4 shou2 zhou2 fen3 sui4 xing4 gu3 zhe2 。
chinese002986,稍 一 动 弹 ， 就 疼 得 龇 牙 咧 嘴 ， 连 连 喊 疼 。,shao1 yi2 dong4 tan5 ， jiu4 teng2 de5 zi1 ya2 lie2 zui3 ， lian2 lian2 han3 teng2 。
chinese002987,他 们 常 年 累 月 驻 扎 在 海 拔 八 百 余 米 的 山 上 。,ta1 men5 chang2 nian2 lei3 yue4 zhu4 zha1 zai4 hai3 ba2 ba1 bai3 yu2 mi3 de5 shan1 shang4 。
chinese002988,你 又 在 逗 我 玩 了 。,ni3 you4 zai4 dou4 wo3 wan2 le5 。
chinese002989,在 枕 头 旁 边 ， 放 十 克 左 右 切 成 丝 的 生 姜 ， 就 能 催 人 入 眠 。,zai4 zhen3 tou5 pang2 bian1 ， fang4 shi2 ke4 zuo3 you4 qie1 cheng2 si1 de5 sheng1 jiang1 ， jiu4 neng2 cui1 ren2 ru4 mian2 。
chinese002990,他 猫 腰 钻 了 进 去 ， 三 个 人 手 脚 相 绕 。,ta1 mao1 yao1 zuan1 le5 jin4 qu4 ， san1 ge5 ren2 shou2 jiao3 xiang1 rao4 。
chinese002991,无 破 不 立 ， 有 舍 有 得 。,wu2 po4 bu2 li4 ， you2 she2 you3 de2 。
chinese002992,当 然 ， 按 要 求 送 土 特 产 的 学 生 可 适 当 免 予 处 罚 。,dang1 ran2 ， an4 yao1 qiu2 song4 tu3 te4 chan3 de5 xue2 sheng1 ke3 shi4 dang4 mian2 yu2 chu3 fa2 。
chinese002993,而 阿 娇 戴 着 蛤 蟆 镜 和 毛 绒 耳 麦 ， 双 手 交 叉 悠 闲 自 在 。,er2 a1 jiao1 dai4 zhe5 ha2 ma5 jing4 he2 mao2 rong2 er3 mai4 ， shuang1 shou3 jiao1 cha1 you1 xian2 zi4 zai4 。
chinese002994,所 以 电 容 屏 更 薄 、 透 光 率 、 耐 候 性 和 性 能 更 好 。,suo2 yi3 dian4 rong2 ping2 geng4 bao2 、 tou4 guang1 lv4 、 nai4 hou4 xing4 he2 xing4 neng2 geng4 hao3 。
chinese002995,我 们 预 计 当 当 网 二 零 一 四 年 的 运 营 利 润 额 为 百 分 之 二 。,wo3 men5 yu4 ji4 dang1 dang1 wang3 er4 ling2 yi1 si4 nian2 de5 yun4 ying2 li4 run4 e2 wei2 bai3 fen1 zhi1 er4 。
chinese002996,他 招 来 的 小 喽 啰 多 为 当 地 无 业 青 年 ， 为 他 跑 腿 贩 毒 。,ta1 zhao1 lai2 de5 xiao3 lou1 luo5 duo1 wei2 dang1 di4 wu2 ye4 qing1 nian2 ， wei4 ta1 pao2 tui3 fan4 du2 。
chinese002997,为 避 免 打 草 惊 蛇 ， 民 警 当 即 将 当 铺 老 板 王 某 控 制 。,wei4 bi4 mian3 da2 cao3 jing1 she2 ， min2 jing3 dang1 ji2 jiang1 dang4 pu4 lao2 ban3 wang2 mou3 kong4 zhi4 。
chinese002998,野 猪 糟 蹋 庄 稼 ， 村 民 就 在 山 上 私 设 电 网 电 野 猪 。,ye3 zhu1 zao1 ta5 zhuang1 jia5 ， cun1 min2 jiu4 zai4 shan1 shang4 si1 she4 dian4 wang3 dian4 ye3 zhu1 。
chinese002999,等 钱 攒 够 了 ， 就 准 备 把 房 子 收 拾 一 下 。,deng3 qian2 zan3 gou4 le5 ， jiu4 zhun3 bei4 ba3 fang2 zi5 shou1 shi5 yi2 xia4 。
chinese003000,这 根 曾 经 的 “ 杀 威 棒 ” 如 今 似 乎 变 成 了 “ 痒 痒 挠 ” 。,zhe4 gen1 ceng2 jing1 de5 “ sha1 wei1 bang4 ” ru2 jin1 si4 hu1 bian4 cheng2 le5 yang3 “ yang5 nao2 ” 。
chinese003001,你 没 车 没 房 没 存 款 还 敢 来 相 亲 ！,ni3 mei2 che1 mei2 fang2 mei2 cun2 kuan3 hai2 gan3 lai2 xiang1 qin1 ！
chinese003002,相 遇 总 是 猝 不 及 防 ， 而 离 别 多 是 蓄 谋 已 久 。,xiang1 yu4 zong3 shi4 cu4 bu4 ji2 fang2 ， er2 li2 bie2 duo1 shi4 xu4 mou2 yi2 jiu3 。
chinese003003,那 上 面 隐 约 可 见 斑 斑 点 点 的 墨 迹 。,na4 shang4 mian5 yin3 yue1 ke3 jian4 ban1 ban1 dian2 dian3 de5 mo4 ji4 。
chinese003004,才 坐 定 一 会 儿 ， 主 人 又 走 进 帐 篷 敬 酒 。,cai2 zuo4 ding4 yi2 huir4 zhu3 ， ren2 you4 zou3 jin4 zhang4 peng5 jing4 jiu3 。
chinese003005,因 此 ， 嘎 隆 拉 雪 山 被 当 地 人 视 为 神 山 。,yin1 ci3 ， ga1 long2 la1 xue3 shan1 bei4 dang1 di4 ren2 shi4 wei2 shen2 shan1 。
chinese003006,陈 同 海 受 贿 一 点 九 五 七 三 余 亿 元 ， 也 被 判 处 死 缓 。,chen2 tong2 hai3 shou4 hui4 yi1 dian3 jiu2 wu3 qi1 san1 yu2 yi4 yuan2 ， ye3 bei4 pan4 chu3 si2 huan3 。
chinese003007,考 生 有 压 力 ， 状 元 也 不 例 外 。,kao3 sheng1 you3 ya1 li4 ， zhuang4 yuan5 ye3 bu2 li4 wai4 。
chinese003008,二 是 及 时 搞 好 中 耕 镇 压 。,er4 shi4 ji2 shi2 gao2 hao3 zhong1 geng1 zhen4 ya1 。
chinese003009,但 巴 茨 绝 对 不 是 好 惹 的 。,dan4 ba1 ci2 jue2 dui4 bu2 shi4 hao2 re3 de5 。
chinese003010,叔 祝 福 妞 永 远 幸 福 快 乐 。,shu1 zhu4 fu2 niu1 yong2 yuan3 xing4 fu2 kuai4 le4 。
chinese003011,交 警 将 掉 出 物 品 扔 进 车 内 。,jiao1 jing3 jiang1 diao4 chu1 wu4 pin3 reng1 jin4 che1 nei4 。
chinese003012,昨 晚 跟 老 婆 聊 文 章 劈 腿 的 事 儿 ， 老 婆 ： 这 娱 乐 圈 的 绯 闻 真 多 ！,zuo2 wan3 gen1 lao3 po5 liao2 wen2 zhang1 pi1 tui3 de5 shir4 lao3 ， po5 zhe4 ： yu2 le4 quan1 de5 fei1 wen2 zhen1 duo1 ！
chinese003013,扰 攘 五 小 时 后 ， 男 子 始 态 度 软 化 ， 放 下 菜 刀 自 愿 开 门 。,rao2 rang3 wu2 xiao3 shi2 hou4 ， nan2 zi2 shi3 tai4 du5 ruan3 hua4 ， fang4 xia4 cai4 dao1 zi4 yuan4 kai1 men2 。
chinese003014,看 到 有 人 在 田 埂 上 私 自 种 茄 子 ， 工 作 队 就 去 拔 掉 。,kan4 dao4 you3 ren2 zai4 tian2 geng3 shang4 si1 zi4 zhong4 qie2 zi5 ， gong1 zuo4 dui4 jiu4 qu4 ba2 diao4 。
chinese003015,一 名 姓 李 的 批 发 商 说 “ 看 样 子 货 要 降 价 咯 ” 。,yi4 ming2 xing4 li3 de5 pi1 fa1 shang1 shuo1 “ kan4 yang4 zi5 huo4 yao4 jiang4 jia4 lo5 ” 。
chinese003016,亦 有 家 长 为 了 环 保 ， 不 买 新 灯 笼 给 子 女 。,yi4 you3 jia1 zhang3 wei4 le5 huan2 bao3 ， bu4 mai3 xin1 deng1 long5 gei3 zi2 nv3 。
chinese003017,如 今 ， 他 只 有 周 末 会 玩 玩 电 脑 ， 网 瘾 已 经 一 去 不 复 返 了 。,ru2 jin1 ， ta1 zhi2 you3 zhou1 mo4 hui4 wan2 wan5 dian4 nao3 ， wang2 yin3 yi3 jing1 yi2 qu4 bu2 fu4 fan3 le5 。
chinese003018,她 不 理 母 亲 、 顶 嘴 吵 架 甚 至 推 搡 她 。,ta1 bu4 li2 mu3 qin1 、 ding2 zui2 chao3 jia4 shen4 zhi4 tui1 sang3 ta1 。
chinese003019,野 兽 日 报 网 站 将 定 期 上 传 电 子 版 节 选 内 容 。,ye3 shou4 ri4 bao4 wang3 zhan4 jiang1 ding4 qi1 shang4 chuan2 dian4 zi2 ban3 jie2 xuan3 nei4 rong2 。
chinese003020,工 人 找 来 扫 水 工 具 往 外 排 水 。,gong1 ren2 zhao3 lai2 sao2 shui3 gong1 ju4 wang3 wai4 pai2 shui3 。
chinese003021,虽 然 偶 然 ， 但 教 训 必 须 吸 取 。,sui1 ran2 ou3 ran2 ， dan4 jiao4 xun4 bi4 xu1 xi1 qu3 。
chinese003022,可 见 皮 实 耐 用 依 然 是 全 新 桑 塔 纳 的 精 髓 所 在 。,ke3 jian4 pi2 shi5 nai4 yong4 yi1 ran2 shi4 quan2 xin1 sang1 ta3 na4 de5 jing1 sui2 suo3 zai4 。
chinese003023,晓 玲 的 作 业 故 作 艰 深 ， 大 段 大 段 都 是 “ 管 锥 编 ” 里 剽 窃 的 。,xiao3 ling2 de5 zuo4 ye4 gu4 zuo4 jian1 shen1 ， da4 duan4 da4 duan4 dou1 shi4 “ guan3 zhui1 bian1 ” li3 piao1 qie4 de5 。
chinese003024,上 周 日 ， 他 买 了 三 斤 香 蕉 ， 随 意 复 秤 后 ， 发 现 只 有 两 斤 半 。,shang4 zhou1 ri4 ， ta1 mai3 le5 san1 jin1 xiang1 jiao1 ， sui2 yi4 fu4 cheng4 hou4 ， fa1 xian4 zhi2 you2 liang3 jin1 ban4 。
chinese003025,这 伙 盗 墓 贼 闻 讯 撤 离 。,zhe4 huo3 dao4 mu4 zei2 wen2 xun4 che4 li2 。
chinese003026,就 是 想 混 淆 一 种 概 念 。,jiu4 shi4 xiang3 hun4 xiao2 yi4 zhong3 gai4 nian4 。
chinese003027,公 示 公 车 身 份 ， 在 车 身 的 醒 目 位 置 喷 涂 “ 公 车 ” 字 样 。,gong1 shi4 gong1 che1 shen1 fen4 ， zai4 che1 shen1 de5 xing3 mu4 wei4 zhi4 pen1 tu2 “ gong1 che1 ” zi4 yang4 。
chinese003028,妻 子 身 上 难 受 ， 腿 脚 发 麻 浑 身 肿 胀 ， 肚 子 跟 皮 球 一 样 鼓 。,qi1 zi5 shen1 shang4 nan2 shou4 ， tui2 jiao3 fa1 ma2 hun2 shen1 zhong3 zhang4 ， du4 zi5 gen1 pi2 qiu2 yi2 yang4 gu3 。
chinese003029,那 封 古 老 的 信 也 奋 如 黄 鹤 ， 至 今 没 有 一 点 回 音 。,na4 feng1 gu2 lao3 de5 xin4 ye3 fen4 ru2 huang2 he4 ， zhi4 jin1 mei2 you3 yi4 dian3 hui2 yin1 。
chinese003030,诸 葛 紫 岐 与 无 线 艺 员 魏 俊 皓 一 起 出 席 鞋 履 活 动 。,zhu1 ge2 zi3 qi2 yu3 wu2 xian4 yi4 yuan2 wei4 jun4 hao4 yi4 qi3 chu1 xi2 xie2 lv3 huo2 dong4 。
chinese003031,要 是 腿 软 了 ， 都 会 栽 下 来 。,yao4 shi4 tui2 ruan3 le5 ， dou1 hui4 zai1 xia4 lai5 。
chinese003032,最 终 他 将 蛇 咬 死 ， 为 自 己 报 了 “ 一 咬 之 仇 ” 。,zui4 zhong1 ta1 jiang1 she2 yao2 si3 ， wei4 zi4 ji3 bao4 le5 “ yi4 yao3 zhi1 chou2 ” 。
chinese003033,有 观 察 者 称 ， 爆 米 花 桶 含 荧 光 增 白 剂 一 点 儿 都 不 让 人 吃 惊 。,you3 guan1 cha2 zhe3 cheng1 ， bao4 mi3 hua1 tong3 han2 ying2 guang1 zeng1 bai2 ji4 yi4 dianr3 dou1 bu2 rang4 ren2 chi1 jing1 。
chinese003034,常 辉 给 赵 晓 过 了 一 个 浪 漫 温 馨 的 生 日 。,chang2 hui1 gei3 zhao4 xiao3 guo4 le5 yi2 ge4 lang4 man4 wen1 xin1 de5 sheng1 ri4 。
chinese003035,来 采 访 下 我 们 吧 ？,lai2 cai2 fang3 xia4 wo3 men5 ba5 ？
chinese003036,文 凭 的 上 半 部 分 是 密 密 麻 麻 竖 行 印 刷 的 “ 上 谕 ” 。,wen2 ping2 de5 shang4 ban4 bu4 fen5 shi4 mi4 mi4 ma2 ma2 shu4 hang2 yin4 shua1 de5 “ shang4 yu4 ” 。
chinese003037,所 以 今 年 我 们 店 盈 利 无 望 ， 利 润 表 现 将 逊 于 去 年 。,suo2 yi3 jin1 nian2 wo3 men5 dian4 ying2 li4 wu2 wang4 ， li4 run4 biao3 xian4 jiang1 xun4 yu2 qu4 nian2 。
chinese003038,个 来 月 的 宝 宝 开 始 俏 皮 啦 。,ge4 lai2 yue4 de5 bao3 bao5 kai1 shi3 qiao4 pi2 la5 。
chinese003039,选 拔 考 试 门 槛 高 、 内 容 难 。,xuan3 ba2 kao3 shi4 men2 kan3 gao1 、 nei4 rong2 nan2 。
chinese003040,美 国 战 果 最 多 的 狙 击 手 凯 尔 。,mei3 guo2 zhan4 guo3 zui4 duo1 de5 ju1 ji1 shou3 kai2 er3 。
chinese003041,樱 桃 园 中 泪 水 ， 十 二 夜 里 笑 声 。,ying1 tao2 yuan2 zhong1 lei4 shui3 ， shi2 er4 ye4 li3 xiao4 sheng1 。
chinese003042,在 东 京 都 内 开 有 一 家 蜡 烛 店 。,zai4 dong1 jing1 du1 nei4 kai1 you3 yi4 jia1 la4 zhu5 dian4 。
chinese003043,我 就 赶 紧 给 闺 女 打 电 话 。,wo3 jiu4 gan2 jin2 gei3 gui1 nv5 da3 dian4 hua4 。
chinese003044,倚 着 洪 崖 洞 的 栏 杆 望 去 ， 还 能 清 晰 看 到 山 体 起 伏 ， 江 水 荡 漾 。,yi3 zhe5 hong2 ya2 dong4 de5 lan2 gan1 wang4 qu4 ， hai2 neng2 qing1 xi1 kan4 dao4 shan1 ti2 qi3 fu2 ， jiang1 shui3 dang4 yang4 。
chinese003045,上 场 前 二 十 分 钟 ， 朱 之 文 两 腿 直 哆 嗦 ， 感 觉 快 站 不 住 了 。,shang4 chang3 qian2 er4 shi5 fen1 zhong1 ， zhu1 zhi1 wen2 liang2 tui3 zhi2 duo1 suo5 ， gan3 jue2 kuai4 zhan4 bu2 zhu4 le5 。
chinese003046,而 该 小 贩 则 丢 下 手 推 车 逃 窜 。,er2 gai1 xiao3 fan4 ze2 diu1 xia4 shou3 tui1 che1 tao2 cuan4 。
chinese003047,卡 塔 尔 也 表 示 将 向 巴 林 派 兵 。,ka2 ta2 er3 ye2 biao3 shi4 jiang1 xiang4 ba1 lin2 pai4 bing1 。
chinese003048,声 明 还 称 ， 刘 銮 雄 被 澳 门 终 审 法 院 要 求 仅 作 为 证 人 出 席 聆 讯 。,sheng1 ming2 hai2 cheng1 ， liu2 luan2 xiong2 bei4 ao4 men2 zhong1 shen2 fa3 yuan4 yao1 qiu2 jin3 zuo4 wei2 zheng4 ren2 chu1 xi2 ling2 xun4 。
chinese003049,然 后 老 板 开 车 猛 倒 ， 又 往 前 冲 。,ran2 hou4 lao2 ban3 kai1 che1 meng3 dao4 ， you4 wang3 qian2 chong1 。
chinese003050,当 晚 ， 蛋 蛋 和 张 艳 娟 住 进 了 医 院 。,dang4 wan3 ， dan4 dan5 he2 zhang1 yan4 juan1 zhu4 jin4 le5 yi1 yuan4 。
chinese003051,为 什 么 晕 ， 不 对 胃 口 吗 ？,wei4 shen2 me5 yun1 ， bu2 dui4 wei4 kou3 ma5 ？
chinese003052,地 铁 铁 轨 选 材 更 讲 究 些 。,di4 tie3 tie2 gui3 xuan3 cai2 geng4 jiang3 jiu5 xie1 。
chinese003053,天 杀 的 ， 谁 把 我 死 了 葬 得 好 好 的 仓 鼠 挖 出 来 洗 ！,tian1 sha1 de5 ， shei2 ba2 wo2 si3 le5 zang4 de5 hao3 hao1 de5 cang1 shu3 wa1 chu1 lai2 xi3 ！
chinese003054,涉 及 的 几 份 名 单 中 ， 均 标 明 了 运 动 员 的 出 生 年 月 。,she4 ji2 de5 ji3 fen4 ming2 dan1 zhong1 ， jun1 biao1 ming2 le5 yun4 dong4 yuan2 de5 chu1 sheng1 nian2 yue4 。
chinese003055,两 人 当 年 因 戏 生 情 ， 迅 速 堕 入 爱 河 。,liang3 ren2 dang1 nian2 yin1 xi4 sheng1 qing2 ， xun4 su4 duo4 ru4 ai4 he2 。
chinese003056,不 过 青 霞 对 于 未 能 协 助 张 国 荣 摆 脱 忧 郁 症 ， 始 终 耿 耿 于 怀 。,bu2 guo4 qing1 xia2 dui4 yu2 wei4 neng2 xie2 zhu4 zhang1 guo2 rong2 bai3 tuo1 you1 yu4 zheng4 ， shi3 zhong1 geng2 geng3 yu2 huai2 。
chinese003057,不 过 ， 六 月 初 将 上 调 该 品 牌 奶 粉 价 格 。,bu2 guo4 ， liu4 yue4 chu1 jiang1 shang4 tiao2 gai1 pin3 pai2 nai2 fen3 jia4 ge2 。
chinese003058,特 警 抬 了 一 块 重 型 盾 牌 进 入 楼 内 。,te4 jing3 tai2 le5 yi2 kuai4 zhong4 xing2 dun4 pai2 jin4 ru4 lou2 nei4 。
chinese003059,主 考 者 眼 睛 眯 着 ， 像 是 在 挑 蟋 蟀 ， 看 谁 斗 得 最 猛 拣 谁 。,zhu2 kao2 zhe2 yan3 jing5 mi1 zhe5 ， xiang4 shi4 zai4 tiao1 xi1 shuai4 ， kan4 shui2 dou4 de5 zui4 meng2 jian3 shui2 。
chinese003060,包 括 烟 花 爆 竹 须 绕 行 深 圳 。,bao1 kuo4 yan1 hua1 bao4 zhu2 xu1 rao4 xing2 shen1 zhen4 。
chinese003061,车 子 的 挡 风 玻 璃 碎 裂 ， 呈 内 凹 状 。,che1 zi5 de5 dang3 feng1 bo1 li5 sui4 lie4 ， cheng2 nei4 ao1 zhuang4 。
chinese003062,他 笑 余 插 些 话 ： 我 听 你 一 说 ， 正 好 想 起 ！,ta1 xiao4 yu2 cha1 xie1 hua4 ： wo3 ting1 ni3 yi4 shuo1 zheng4 ， hao3 xiang2 qi3 ！
chinese003063,看 到 潘 某 与 老 汉 都 不 再 动 弹 ， 黄 某 匆 忙 掠 取 财 物 后 逃 走 。,kan4 dao4 pan1 mou3 yu2 lao3 han4 dou1 bu2 zai4 dong4 tan5 ， huang2 mou3 cong1 mang2 lve4 qu3 cai2 wu4 hou4 tao2 zou3 。
chinese003064,下 西 坑 村 饮 水 难 只 是 东 山 岛 的 一 个 缩 影 。,xia4 xi1 keng1 cun1 yin2 shui3 nan2 zhi3 shi4 dong1 shan1 dao3 de5 yi2 ge4 suo1 ying3 。
chinese003065,我 可 以 帮 你 查 阅 瑜 伽 资 料 。,wo3 ke2 yi3 bang1 ni3 cha2 yue4 yu2 jia1 zi1 liao4 。
chinese003066,讲 着 讲 着 ， 他 一 阵 拳 摩 擦 掌 后 ， 摇 摇 头 、 甩 甩 脚 、 掰 掰 手 。,jiang3 zhe5 jiang3 zhe5 ， ta1 yi2 zhen4 quan2 mo2 ca1 zhang3 hou4 ， yao2 yao5 tou2 、 shuai2 shuai2 jiao3 、 bai1 bai1 shou3 。
chinese003067,舍 友 何 同 学 告 诉 记 者 ， 他 们 本 学 期 才 搬 入 华 农 华 山 校 区 宿 舍 。,she4 you3 he2 tong2 xue2 gao4 su4 ji4 zhe3 ， ta1 men5 ben3 xue2 qi1 cai2 ban1 ru4 hua2 nong2 hua4 shan1 xiao4 qu1 su4 she4 。
chinese003068,因 为 葡 萄 酒 里 农 药 的 残 留 来 自 于 葡 萄 。,yin1 wei4 pu2 tao5 jiu2 li3 nong2 yao4 de5 can2 liu2 lai2 zi4 yu2 pu2 tao5 。
chinese003069,即 使 福 拉 多 成 为 国 足 主 教 练 ， 他 主 力 右 后 卫 的 位 置 依 然 牢 固 。,ji2 shi3 fu2 la1 duo1 cheng2 wei2 guo2 zu2 zhu3 jiao4 lian4 ， ta1 zhu3 li4 you4 hou4 wei4 de5 wei4 zhi5 yi1 ran2 lao2 gu4 。
chinese003070,众 多 乡 亲 簇 拥 观 赏 ， 惊 叹 之 余 期 待 试 水 成 功 。,zhong4 duo1 xiang1 qin1 cu4 yong1 guan1 shang3 ， jing1 tan4 zhi1 yu2 qi1 dai4 shi4 shui3 cheng2 gong1 。
chinese003071,被 称 为 “ 东 方 维 纳 斯 ” 的 断 臂 菩 萨 像 。,bei4 cheng1 wei2 “ dong1 fang1 wei2 na4 si1 ” de5 duan4 bi4 pu2 sa5 xiang4 。
chinese003072,从 照 片 上 来 看 ， 陈 冠 希 面 目 扭 曲 ， 皱 纹 纵 横 ， 实 在 是 颓 唐 憔 悴 。,cong2 zhao4 pian4 shang4 lai2 kan4 ， chen2 guan4 xi1 mian4 mu4 niu3 qu1 ， zhou4 wen2 zong4 heng2 ， shi2 zai4 shi4 tui2 tang2 qiao2 cui4 。
chinese003073,以 目 前 的 抛 压 情 绪 看 ， 今 日 酒 鬼 酒 仍 有 跌 停 可 能 。,yi3 mu4 qian2 de5 pao1 ya1 qing2 xu4 kan4 ， jin1 ri4 jiu2 gui2 jiu3 reng2 you3 die1 ting2 ke3 neng2 。
chinese003074,老 奶 奶 看 看 我 坐 下 后 叹 气 到 ： 多 好 的 小 伙 儿 啊 ， 可 惜 是 个 哑 巴 。,lao2 nai3 nai5 kan4 kan5 wo3 zuo4 xia4 hou4 tan4 qi4 dao4 ： duo1 hao3 de5 xiao2 huor3 a5 ke3 xi1 ， shi4 ge5 ya3 ba5 。
chinese003075,父 母 倒 地 不 动 弹 后 ， 冯 天 云 回 到 自 己 屋 里 。,fu4 mu2 dao3 di4 bu2 dong4 tan5 hou4 ， feng2 tian1 yun2 hui2 dao4 zi4 ji3 wu1 li3 。
chinese003076,安 德 鲁 和 抹 香 鲸 。,an1 de2 lu3 he2 mo3 xiang1 jing1 。
chinese003077,我 们 “ 国 富 民 穷 ” 吗 ？,wo3 men5 “ guo2 fu4 min2 qiong2 ” ma5 ？
chinese003078,趁 斯 嘉 丽 拧 转 面 时 ， 保 镖 更 一 时 情 不 自 禁 开 心 大 笑 。,chen4 si1 jia1 li4 ning2 zhuan3 mian4 shi2 ， bao3 biao1 geng4 yi4 shi2 qing2 bu5 zi4 jin1 kai1 xin1 da4 xiao4 。
chinese003079,白 酒 虽 已 高 估 ， 但 同 类 型 的 中 医 药 仍 具 重 估 价 值 。,bai2 jiu3 sui1 yi3 gao1 gu1 ， dan4 tong2 lei4 xing2 de5 zhong1 yi1 yao4 reng2 ju4 chong2 gu1 jia4 zhi2 。
